tri,vertex,x,y,z,fault_name
171,c,-84179.4961057124,3388343.6849967395,-19935.0,gurla
171,m,-83251.20466225686,3389822.78806936,-18175.0,gurla
172,a,-55025.4095092604,3387503.951310345,5032.0,gurla
172,b,-52745.3160017104,3388612.4285436263,4980.0,gurla
172,c,-53545.9353074514,3387778.176315801,5019.0,gurla
172,m,-53772.220272807404,3387964.852056591,5010.333333333333,gurla
173,a,-65779.0081596727,3391577.9152450687,-677.0,gurla
173,b,-59569.884870877,3384645.4241766375,4651.0,gurla
173,c,-67661.9402787471,3389400.5404737857,-732.0,gurla
173,m,-64336.94443643227,3388541.2932984973,1080.6666666666667,gurla
174,a,-65779.0081596727,3391577.9152450687,-677.0,gurla
174,b,-58682.0574800993,3386175.121430604,4592.0,gurla
174,c,-59569.884870877,3384645.4241766375,4651.0,gurla
174,m,-61343.65017021633,3387466.1536174365,2855.3333333333335,gurla
175,a,-77493.3137224664,3392296.199729173,-10409.0,gurla
175,b,-73335.4874031276,3389894.2023254214,-5624.0,gurla
175,c,-78298.8700595595,3388685.5011560065,-10382.0,gurla
175,m,-76375.89039505117,3390291.967736867,-8805.0,gurla
176,a,-83943.698364826,3391556.5940795033,-19847.0,gurla
176,b,-81031.7778624845,3392617.9961874844,-15429.0,gurla
176,c,-81630.4195162322,3389568.0851318375,-14743.0,gurla
176,m,-82201.96524784756,3391247.5584662748,-16673.0,gurla
177,a,-81031.7778624845,3392617.9961874844,-15429.0,gurla
177,b,-78298.8700595595,3388685.5011560065,-10382.0,gurla
177,c,-81630.4195162322,3389568.0851318375,-14743.0,gurla
177,m,-80320.35581275873,3390290.5274917763,-13518.0,gurla
178,a,-81031.7778624845,3392617.9961874844,-15429.0,gurla
178,b,-77493.3137224664,3392296.199729173,-10409.0,gurla
178,c,-78298.8700595595,3388685.5011560065,-10382.0,gurla
178,m,-78941.32054817013,3391199.8990242216,-12073.333333333334,gurla
179,a,-63266.1994595304,3393255.6705462583,-667.0,gurla
179,b,-58682.0574800993,3386175.121430604,4592.0,gurla
179,c,-65779.0081596727,3391577.9152450687,-677.0,gurla
179,m,-62575.7550331008,3390336.2357406435,1082.6666666666667,gurla
180,a,-71965.8986605766,3393592.8468843675,-5566.0,gurla
180,b,-67661.9402787471,3389400.5404737857,-732.0,gurla
180,c,-73335.4874031276,3389894.2023254214,-5624.0,gurla
180,m,-70987.77544748377,3390962.5298945247,-3974.0,gurla
181,a,-60834.8598373203,3394354.5073267035,-584.0,gurla
181,b,-58682.0574800993,3386175.121430604,4592.0,gurla
181,c,-63266.1994595304,3393255.6705462583,-667.0,gurla
181,m,-60927.70559231667,3391261.766434522,1113.6666666666667,gurla
182,a,-60834.8598373203,3394354.5073267035,-584.0,gurla
182,b,-57118.8237269026,3387086.4763039723,4785.0,gurla
182,c,-58682.0574800993,3386175.121430604,4592.0,gurla
182,m,-58878.5803481074,3389205.36835376,2931.0,gurla
183,a,-55025.4095092604,3387503.951310345,5032.0,gurla
183,b,-55071.6335814662,3394464.7500581187,-198.0,gurla
183,c,-52745.3160017104,3388612.4285436263,4980.0,gurla
183,m,-54280.786364145664,3390193.7099706964,3271.3333333333335,gurla
184,a,-57750.171528641,3394427.9228119487,-250.0,gurla
184,b,-55025.4095092604,3387503.951310345,5032.0,gurla
184,c,-57118.8237269026,3387086.4763039723,4785.0,gurla
184,m,-56631.46825493467,3389672.783475422,3189.0,gurla
185,a,-83541.5382481498,3394402.0927499323,-20506.0,gurla
185,b,-81031.7778624845,3392617.9961874844,-15429.0,gurla
185,c,-83943.698364826,3391556.5940795033,-19847.0,gurla
185,m,-82839.00482515343,3392858.8943389733,-18594.0,gurla
186,a,-55071.6335814662,3394464.7500581187,-198.0,gurla
186,b,-51432.0140283693,3389595.571127887,4974.0,gurla
186,c,-52745.3160017104,3388612.4285436263,4980.0,gurla
186,m,-53082.9878705153,3390890.9165765443,3252.0,gurla
187,a,-60834.8598373203,3394354.5073267035,-584.0,gurla
187,b,-57750.171528641,3394427.9228119487,-250.0,gurla
187,c,-57118.8237269026,3387086.4763039723,4785.0,gurla
187,m,-58567.9516976213,3391956.302147541,1317.0,gurla
188,a,-57750.171528641,3394427.9228119487,-250.0,gurla
188,b,-55071.6335814662,3394464.7500581187,-198.0,gurla
188,c,-55025.4095092604,3387503.951310345,5032.0,gurla
188,m,-55949.071539789205,3392132.208060138,1528.0,gurla
189,a,-77493.3137224664,3392296.199729173,-10409.0,gurla
189,b,-71965.8986605766,3393592.8468843675,-5566.0,gurla
189,c,-73335.4874031276,3389894.2023254214,-5624.0,gurla
189,m,-74264.89992872353,3391927.749646321,-7199.666666666667,gurla
190,a,-36005.5559362164,3395594.4588912325,-445.0,gurla
190,b,-33938.8811973487,3395000.2392779626,-445.0,gurla
190,c,-36514.1606544759,3390958.7628208892,4851.0,gurla
190,m,-35486.19926268033,3393851.1536633614,1320.3333333333333,gurla
191,a,-71965.8986605766,3393592.8468843675,-5566.0,gurla
191,b,-65779.0081596727,3391577.9152450687,-677.0,gurla
191,c,-67661.9402787471,3389400.5404737857,-732.0,gurla
191,m,-68468.9490329988,3391523.7675344073,-2325.0,gurla
192,a,-52991.2665655549,3395641.5429395507,-282.0,gurla
192,b,-51432.0140283693,3389595.571127887,4974.0,gurla
192,c,-55071.6335814662,3394464.7500581187,-198.0,gurla
192,m,-53164.9713917968,3393233.9547085185,1498.0,gurla
193,a,-37994.5094841212,3395699.164058553,-445.0,gurla
193,b,-36514.1606544759,3390958.7628208892,4851.0,gurla
193,c,-39503.0606085149,3391020.250721892,5027.0,gurla
193,m,-38003.910249037326,3392559.3925337777,3144.3333333333335,gurla
194,a,-69559.119979332,3395704.591895813,-5025.0,gurla
194,b,-65779.0081596727,3391577.9152450687,-677.0,gurla
194,c,-71965.8986605766,3393592.8468843675,-5566.0,gurla
194,m,-69101.3422665271,3393625.1180084166,-3756.0,gurla
195,a,-42218.6797427998,3390995.906317991,5097.0,gurla
195,b,-40461.6895932303,3395822.634557219,-351.0,gurla
195,c,-39503.0606085149,3391020.250721892,5027.0,gurla
195,m,-40727.809981515,3392612.9305323674,3257.6666666666665,gurla
196,a,-37994.5094841212,3395699.164058553,-445.0,gurla
196,b,-36005.5559362164,3395594.4588912325,-445.0,gurla
196,c,-36514.1606544759,3390958.7628208892,4851.0,gurla
196,m,-36838.07535827117,3394084.128590225,1320.3333333333333,gurla
197,a,-52991.2665655549,3395641.5429395507,-282.0,gurla
197,b,-49262.4632833861,3390535.2291421,5183.0,gurla
197,c,-51432.0140283693,3389595.571127887,4974.0,gurla
197,m,-51228.58129243677,3391924.1144031794,3291.6666666666665,gurla
198,a,-44891.5196286485,3391072.1696709367,5197.0,gurla
198,b,-42976.3419384788,3396007.4044917887,-309.0,gurla
198,c,-42218.6797427998,3390995.906317991,5097.0,gurla
198,m,-43362.18043664237,3392691.8268269054,3328.3333333333335,gurla
199,a,-40461.6895932303,3395822.634557219,-351.0,gurla
199,b,-37994.5094841212,3395699.164058553,-445.0,gurla
199,c,-39503.0606085149,3391020.250721892,5027.0,gurla
199,m,-39319.75322862213,3394180.6831125547,1410.3333333333333,gurla
200,a,-46151.5099236383,3396109.5472156717,-198.0,gurla
200,b,-44891.5196286485,3391072.1696709367,5197.0,gurla
200,c,-47365.8907630964,3391080.6824819073,5145.0,gurla
200,m,-46136.3067717944,3392754.1331228386,3381.3333333333335,gurla
201,a,-76395.4249870619,3395655.514393992,-10619.0,gurla
201,b,-71965.8986605766,3393592.8468843675,-5566.0,gurla
201,c,-77493.3137224664,3392296.199729173,-10409.0,gurla
201,m,-75284.8791233683,3393848.1870025103,-8864.666666666666,gurla
202,a,-42976.3419384788,3396007.4044917887,-309.0,gurla
202,b,-40461.6895932303,3395822.634557219,-351.0,gurla
202,c,-42218.6797427998,3390995.906317991,5097.0,gurla
202,m,-41885.5704248363,3394275.315122333,1479.0,gurla
203,a,-80352.1560571813,3396021.9181065955,-15561.0,gurla
203,b,-77493.3137224664,3392296.199729173,-10409.0,gurla
203,c,-81031.7778624845,3392617.9961874844,-15429.0,gurla
203,m,-79625.74921404407,3393645.3713410846,-13799.666666666666,gurla
204,a,-51133.6518501016,3396421.6028249743,-319.0,gurla
204,b,-49262.4632833861,3390535.2291421,5183.0,gurla
204,c,-52991.2665655549,3395641.5429395507,-282.0,gurla
204,m,-51129.1272330142,3394199.4583022087,1527.3333333333333,gurla
205,a,-83541.5382481498,3394402.0927499323,-20506.0,gurla
205,b,-80352.1560571813,3396021.9181065955,-15561.0,gurla
205,c,-81031.7778624845,3392617.9961874844,-15429.0,gurla
205,m,-81641.82405593853,3394347.3356813374,-17165.333333333332,gurla
206,a,-49262.4632833861,3390535.2291421,5183.0,gurla
206,b,-48909.1332896203,3396483.0715382295,-239.0,gurla
206,c,-47365.8907630964,3391080.6824819073,5145.0,gurla
206,m,-48512.49577870094,3392699.661054079,3363.0,gurla
207,a,-46151.5099236383,3396109.5472156717,-198.0,gurla
207,b,-42976.3419384788,3396007.4044917887,-309.0,gurla
207,c,-44891.5196286485,3391072.1696709367,5197.0,gurla
207,m,-44673.1238302552,3394396.3737927987,1563.3333333333333,gurla
208,a,-51133.6518501016,3396421.6028249743,-319.0,gurla
208,b,-48909.1332896203,3396483.0715382295,-239.0,gurla
208,c,-49262.4632833861,3390535.2291421,5183.0,gurla
208,m,-49768.416141036,3394479.967835101,1541.6666666666667,gurla
209,a,-48909.1332896203,3396483.0715382295,-239.0,gurla
209,b,-46151.5099236383,3396109.5472156717,-198.0,gurla
209,c,-47365.8907630964,3391080.6824819073,5145.0,gurla
209,m,-47475.51132545167,3394557.7670786027,1569.3333333333333,gurla
210,a,-80352.1560571813,3396021.9181065955,-15561.0,gurla
210,b,-76395.4249870619,3395655.514393992,-10619.0,gurla
210,c,-77493.3137224664,3392296.199729173,-10409.0,gurla
210,m,-78080.29825556987,3394657.87740992,-12196.333333333334,gurla
211,a,-82961.5843458272,3397094.597469759,-20354.0,gurla
211,b,-80352.1560571813,3396021.9181065955,-15561.0,gurla
